geoid,name,B19013001,"B19013001, Error"
14000US12095015402,"Census Tract 154.02, Orange, FL",41335,8956
14000US12095015501,"Census Tract 155.01, Orange, FL",60337,10110
14000US12095015601,"Census Tract 156.01, Orange, FL",110521,13208
14000US12095015602,"Census Tract 156.02, Orange, FL",107057,9351
14000US12095015701,"Census Tract 157.01, Orange, FL",62042,5777
14000US12095015702,"Census Tract 157.02, Orange, FL",79464,23030
14000US12095015801,"Census Tract 158.01, Orange, FL",134688,24504
14000US12095015802,"Census Tract 158.02, Orange, FL",171250,22173
14000US12095015901,"Census Tract 159.01, Orange, FL",35806,12991
14000US12095015902,"Census Tract 159.02, Orange, FL",47411,8279
14000US12095016001,"Census Tract 160.01, Orange, FL",62969,18130
14000US12095016002,"Census Tract 160.02, Orange, FL",126719,25832
14000US12095016100,"Census Tract 161, Orange, FL",62155,33277
14000US12095016200,"Census Tract 162, Orange, FL",48183,6005
14000US12095016301,"Census Tract 163.01, Orange, FL",39944,9492
14000US12095016302,"Census Tract 163.02, Orange, FL",29832,4534
14000US12095016402,"Census Tract 164.02, Orange, FL",40647,4600
14000US12095016406,"Census Tract 164.06, Orange, FL",38065,9098
14000US12095016407,"Census Tract 164.07, Orange, FL",27770,6795
14000US12095016408,"Census Tract 164.08, Orange, FL",44583,9697
14000US12095016409,"Census Tract 164.09, Orange, FL",80994,4944
14000US12095016410,"Census Tract 164.10, Orange, FL",44101,7412
14000US12095016411,"Census Tract 164.11, Orange, FL",45357,8555
14000US12095016412,"Census Tract 164.12, Orange, FL",60271,5141
14000US12095016503,"Census Tract 165.03, Orange, FL",41485,14576
14000US12095016504,"Census Tract 165.04, Orange, FL",51373,6897
14000US12095016505,"Census Tract 165.05, Orange, FL",42155,8894
14000US12095016507,"Census Tract 165.07, Orange, FL",78286,10998
14000US12095016508,"Census Tract 165.08, Orange, FL",40116,8408
14000US12095016509,"Census Tract 165.09, Orange, FL",34444,4289
14000US12095016510,"Census Tract 165.10, Orange, FL",23650,6544
14000US12095016511,"Census Tract 165.11, Orange, FL",31563,3507
14000US12095016601,"Census Tract 166.01, Orange, FL",58250,8280
14000US12095016602,"Census Tract 166.02, Orange, FL",51104,6291
14000US12095016704,"Census Tract 167.04, Orange, FL",78391,7051
14000US12095016709,"Census Tract 167.09, Orange, FL",40293,6624
14000US12095016710,"Census Tract 167.10, Orange, FL",63628,4045
14000US12095016712,"Census Tract 167.12, Orange, FL",36269,6166
14000US12095016713,"Census Tract 167.13, Orange, FL",38543,4265
14000US12095016714,"Census Tract 167.14, Orange, FL",43721,4726
14000US12095016715,"Census Tract 167.15, Orange, FL",38672,8110
14000US12095016716,"Census Tract 167.16, Orange, FL",84700,7863
14000US12095016717,"Census Tract 167.17, Orange, FL",71875,12206
14000US12095016723,"Census Tract 167.23, Orange, FL",52679,5541
14000US12095016724,"Census Tract 167.24, Orange, FL",39319,4996
14000US12095016727,"Census Tract 167.27, Orange, FL",40647,10573
14000US12095016728,"Census Tract 167.28, Orange, FL",68167,4804
14000US12095016729,"Census Tract 167.29, Orange, FL",60333,7181
14000US12095016730,"Census Tract 167.30, Orange, FL",72227,9444
14000US12095016731,"Census Tract 167.31, Orange, FL",72378,11640
14000US12095016732,"Census Tract 167.32, Orange, FL",72760,9596
14000US12095016733,"Census Tract 167.33, Orange, FL",51044,8710
14000US12095016734,"Census Tract 167.34, Orange, FL",59015,11009
14000US12095016802,"Census Tract 168.02, Orange, FL",83571,11091
14000US12095016803,"Census Tract 168.03, Orange, FL",53993,10867
14000US12095016804,"Census Tract 168.04, Orange, FL",40753,5071
14000US12095016806,"Census Tract 168.06, Orange, FL",53113,4384
14000US12095016807,"Census Tract 168.07, Orange, FL",53069,5800
14000US12095016902,"Census Tract 169.02, Orange, FL",31596,4797
