Year,Date,City,Nonfatal_Fatal,Age,Age_Category,Sex,Water_Body,County,Timecat,Time,Victim_Activity,Gator_Fed,Dog_Present,Body_Part_Bitten,Injury_Severity_LowMedHigh,GatorLength_MeasuredOrEst,Length_Feet,Length_Inches,Weight_Lbs,Gator_Sex,GatorObserved_PriorToBite,GatorObserved_DuringBite,VictimStateResidence,AlcoholOrDrugs
1992,14-Jul-92,Tampa,N,14,T,M,Woodlake Park Pond,Hillsborough,Aft,1645,Feeding,Y,N,"Arm, upper left",L,E,4,,,,N,Y,Florida,
1992,13-Aug-92,Cassia,N,66,A,M,Shell Creek,Lake,Aft,1230,Wading,Y,N,Left lower leg and right ankle and heel,M,M,9,10,,M,Y,Y,Florida,
1993,19-Mar-93,Lake Worth,N,58,A,M,Unnamed retention pond,Palm Beach,Aft,1300,Other,,N,Right forearm and right side of chest,M,E,6,,,,N,Y,Florida,
1993,04-May-93,Dade City,N,34,A,M,,Pasco,Eve,1945,Landscaping,,N,"Hand, left",L,E,4,,,,N,Y,Florida,
1993,10-May-93,Ft. Myers,N,50,A,M,"Arro Ram Inc., pond",Lee,Aft,1505,Wading,Y,N,"Arm 1st, and then leg",M,M,7,5,,M,N,Y,Florida,
1993,19-Jun-93,Tequesta,F,10,C,M,Loxahatchee River,Martin,Aft,1230,Swimming,,N,Head and neck,H,M,11,4,,M,N,Y,Florida,N
1993,04-Jul-93,Palm Coast,N,28,A,M,Unnamed pond,Flagler,Aft,1400,Fishing,Y,N,Calf of right leg,M,M,7,3,,M,N,N,Florida,Y
1993,10-Jul-93,Nobleton,N,14,T,M,Withlacoochee River - Nobleton,Hernando,Eve,2000,Swimming,,Y,"Hand, left",L,E,4,,,,Y,Y,Florida,
1993,27-Jul-93,Bonita Springs,N,28,A,M,Lake 5,Lee,Aft,1430,Wading,N,N,Calf of right leg,L,E,4,,,,N,Y,Florida,
1993,02-Aug-93,West Palm Beach,N,64,A,M,Unnamed pond,Palm Beach,Aft,1530,Other,N,N,Right leg below the knee,M,E,6,,,,N,Y,Florida,
1993,05-Aug-93,Tampa,N,10,C,M,Tampa By-Pass Canal,Hillsborough,Eve,1930,Swimming,,N,"Arm, upper left",H,,,,,,Y,Y,Florida,
1993,19-Aug-93,Flagler Beach,N,83,A,M,Unnamed pond,Flagler,Mor,730,Wading,,N,Right hand,M,M,6,9,55,M,N,Y,Florida,
1993,03-Oct-93,Wildwood,F,70,A,F,Lake Serenity,Sumter,Nit,,,,N,"Head, neck, and arms",H,M,9,7,190,M,,,Florida,
1993,24-Nov-93,Bonita Springs,N,56,A,M,Unnamed pond,Lee,Aft,1600,Snorkeling,,N,"Hand, left",L,M,6,2,,M,N,N,Florida,
1994,11-Feb-94,Sanford,N,45,A,F,Wekiva River - SR 46,Seminole,Aft,1430,Feeding,Y,N,"Finger, right hand",L,M,2,,2,F,Y,Y,,
1994,13-Apr-94,Wellington,N,42,A,M,Unnamed pond,Palm Beach,Aft,1345,Snorkeling,N,N,"Hand, left",M,M,9,11,,M,N,,Florida,
1994,16-Apr-94,Astor Park,N,34,A,M,Alexander Springs,Lake,Aft,1515,Snorkeling,N,N,"Torso, chest and back",L,M,8,6,,,N,,,
1994,27-Apr-94,Orlando,N,12,C,M,Unnamed pond,Orange,Eve,1900,Fishing,N,N,"Unknown, not clear if alligator bit victim",L,E,5,6,,,Y,Y,,
1994,25-Jun-94,Nakomis,N,9,C,M,Curry Creek - canal,Sarasota,Aft,1423,Swimming,N,N,"Leg, on thigh and below knee",M,M,11,8,400,M,N,N,Florida,
